"YEAR","STATEFIP","st_percent_female_employed","st_percent_male_employed","st_sex_ratio_in_percent_employed","st_percent_female_in_labor_force","st_percent_male_in_labor_force","st_sex_ratio_in_percent_in_labor_force","st_percent_female_above_poverty_line","st_percent_male_above_poverty_line","st_sex_ratio_in_percent_above_poverty_line","st_percent_female_yes_high_school_diploma","st_percent_male_yes_high_school_diploma","st_sex_ratio_in_percent_yes_high_school_diploma","st_percent_female_yes_bachelors","st_percent_male_yes_bachelors","st_sex_ratio_in_percent_yes_bachelors","st_percent_white_childapl","st_percent_nonwhite_childapl","st_race_ratio_in_percent_childapl","st_percent_white_yes_high_school_diploma","st_percent_nonwhite_yes_high_school_diploma","st_race_ratio_in_percent_yes_high_school_diploma","st_median_white_household_income","st_median_nonwhite_household_income","st_race_ratio_in_household_income","st_percent_white_home","st_percent_nonwhite_home","st_race_ratio_home","st_percent_white_in_labor_force","st_percent_nonwhite_in_labor_force","st_race_ratio_in_percent_in_labor_force","st_percent_white_above_poverty_line","st_percent_nonwhite_above_poverty_line","st_race_ratio_in_percent_above_poverty_line","st_percent_male_occw","st_percent_female_occw","st_sex_ratio_in_percent_occw","st_percent_male_occp","st_percent_female_occp","st_sex_ratio_in_percent_occp","st_percent_male_occb","st_percent_female_occb","st_sex_ratio_in_percent_occb","st_percent_nonwhite_vote","st_percent_white_vote","st_race_ratio_in_percent_vote","st_percent_female_yes_literate","st_percent_male_yes_literate","st_sex_ratio_in_percent_yes_literate","st_percent_nonwhite_yes_literate","st_percent_white_yes_literate","st_race_ratio_in_percent_yes_literate","state_name","st_white_e0","st_nonwhite_e0","st_race_ratio_in_e0","st_white_e1","st_nonwhite_e1","st_race_ratio_in_e1","st_whitemale_e0","st_nonwhitemale_e0","st_race_ratio_within_males_in_e0","st_whitemale_e1","st_nonwhitemale_e1","st_race_ratio_within_males_in_e1","st_whitefemale_e0","st_nonwhitefemale_e0","st_race_ratio_within_females_in_e0","st_whitefemale_e1","st_nonwhitefemale_e1","st_race_ratio_within_females_in_e1","st_percent_white_occp","st_percent_nonwhite_occp","st_race_ratio_in_percent_occp","st_percent_white_occb","st_percent_nonwhite_occb","st_race_ratio_in_percent_occb","st_percent_white_occw","st_percent_nonwhite_occw","st_race_ratio_in_percent_occw","st_percent_white_employed","st_percent_nonwhite_employed","st_race_ratio_in_percent_employed"
1962,21,0.939,0.91,0.97,0.316,0.723,2.287,NA,NA,NA,0.374,0.3,0.802,0.047,0.069,1.462,NA,NA,NA,0.156,0.098,1.586,NA,NA,NA,NA,NA,NA,0.497,0.617,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926903069019318,0.856102228164673,1.08270144462585
1962,22,0.944,0.939,0.995,0.317,0.704,2.221,NA,NA,NA,0.32,0.303,0.947,0.05,0.064,1.286,NA,NA,NA,0.17,0.073,2.33,NA,NA,NA,NA,NA,NA,0.508,0.473,1.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959214985370636,0.904468595981598,1.06052875518799
1962,24,0.932,0.901,0.967,0.451,0.797,1.768,NA,NA,NA,0.437,0.416,0.953,0.062,0.111,1.789,NA,NA,NA,0.215,0.088,2.453,NA,NA,NA,NA,NA,NA,0.62,0.589,1.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954912841320038,0.797507464885712,1.1973717212677
1962,25,0.966,0.949,0.982,0.4,0.795,1.986,NA,NA,NA,0.531,0.528,0.994,0.07,0.136,1.95,NA,NA,NA,0.191,0.201,0.95,NA,NA,NA,NA,NA,NA,0.579,0.633,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955229103565216,1,0.955229103565216
1962,26,0.907,0.905,0.998,0.364,0.806,2.213,NA,NA,NA,0.452,0.413,0.913,0.044,0.067,1.513,NA,NA,NA,0.164,0.095,1.717,NA,NA,NA,NA,NA,NA,0.569,0.63,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931664288043976,0.699989914894104,1.33096814155579
1962,27,0.98,0.956,0.975,0.374,0.791,2.116,NA,NA,NA,0.503,0.428,0.851,0.067,0.099,1.469,NA,NA,NA,0.206,0.177,1.163,NA,NA,NA,NA,NA,NA,0.58,0.744,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963211894035339,1,0.963211894035339
1962,28,0.972,0.931,0.958,0.324,0.702,2.169,NA,NA,NA,0.22,0.2,0.913,0.033,0.028,0.849,NA,NA,NA,0.134,0.034,3.914,NA,NA,NA,NA,NA,NA,0.512,0.497,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944099962711334,0.951623558998108,0.992093920707703
1962,29,0.945,0.963,1.02,0.332,0.78,2.348,NA,NA,NA,0.445,0.437,0.981,0.042,0.078,1.873,NA,NA,NA,0.178,0.11,1.621,NA,NA,NA,NA,NA,NA,0.55,0.527,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961720585823059,0.900158286094666,1.06839048862457
1962,32,0.967,0.938,0.971,0.47,0.876,1.864,NA,NA,NA,0.649,0.736,1.134,0.035,0.243,6.925,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950349032878876,NA,NA
1962,34,0.927,0.948,1.022,0.368,0.801,2.177,NA,NA,NA,0.428,0.432,1.01,0.049,0.096,1.958,NA,NA,NA,0.163,0.083,1.957,NA,NA,NA,NA,NA,NA,0.562,0.657,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954711556434631,0.85174149274826,1.12089359760284
1962,35,0.949,0.937,0.987,0.3,0.813,2.706,NA,NA,NA,0.459,0.463,1.008,0.08,0.135,1.689,NA,NA,NA,0.227,0.444,0.511,NA,NA,NA,NA,NA,NA,0.539,0.18,2.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94443690776825,1,0.94443690776825
1962,36,0.93,0.937,1.008,0.381,0.78,2.049,NA,NA,NA,0.47,0.466,0.99,0.069,0.126,1.831,NA,NA,NA,0.211,0.091,2.321,NA,NA,NA,NA,NA,NA,0.561,0.662,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941820442676544,0.879380941390991,1.07100391387939
1962,37,0.93,0.935,1.006,0.35,0.751,2.145,NA,NA,NA,0.338,0.273,0.807,0.046,0.052,1.126,NA,NA,NA,0.149,0.047,3.148,NA,NA,NA,NA,NA,NA,0.533,0.558,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946249723434448,0.890725672245026,1.062335729599
1962,39,0.915,0.925,1.01,0.33,0.779,2.358,NA,NA,NA,0.461,0.415,0.902,0.049,0.084,1.729,NA,NA,NA,0.166,0.093,1.795,NA,NA,NA,NA,NA,NA,0.534,0.651,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935530185699463,0.793187081813812,1.17945718765259
1962,40,0.92,0.976,1.06,0.302,0.755,2.497,NA,NA,NA,0.491,0.427,0.871,0.087,0.16,1.838,NA,NA,NA,0.263,0.021,12.243,NA,NA,NA,NA,NA,NA,0.519,0.365,1.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959941923618317,0.913704931735992,1.05060386657715
1962,41,0.954,0.904,0.947,0.363,0.708,1.948,NA,NA,NA,0.525,0.373,0.71,0.057,0.061,1.062,NA,NA,NA,0.17,0,-1,NA,NA,NA,NA,NA,NA,0.541,0.212,2.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.920432209968567,1,0.920432209968567
1962,42,0.941,0.913,0.971,0.319,0.766,2.4,NA,NA,NA,0.46,0.417,0.907,0.037,0.082,2.244,NA,NA,NA,0.146,0.098,1.492,NA,NA,NA,NA,NA,NA,0.536,0.554,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925849318504333,0.871652722358704,1.06217682361603
1962,44,0.892,0.946,1.061,0.373,0.749,2.006,NA,NA,NA,0.351,0.341,0.971,0.015,0.092,6.163,NA,NA,NA,0.128,0,-1,NA,NA,NA,NA,NA,NA,0.54,0.921,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934557497501373,0.836640775203705,1.11703550815582
1962,45,0.914,0.962,1.052,0.412,0.807,1.958,NA,NA,NA,0.344,0.308,0.896,0.029,0.055,1.92,NA,NA,NA,0.15,0,-1,NA,NA,NA,NA,NA,NA,0.596,0.588,1.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963771402835846,0.886542201042175,1.08711278438568
1962,47,0.93,0.918,0.987,0.337,0.768,2.277,NA,NA,NA,0.312,0.294,0.943,0.039,0.046,1.179,NA,NA,NA,0.123,0.039,3.108,NA,NA,NA,NA,NA,NA,0.535,0.608,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921227037906647,0.925260007381439,0.995641231536865
1962,48,0.95,0.95,1,0.358,0.768,2.147,NA,NA,NA,0.424,0.402,0.948,0.05,0.066,1.322,NA,NA,NA,0.187,0.108,1.733,NA,NA,NA,NA,NA,NA,0.551,0.572,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956844508647919,0.904605209827423,1.05774819850922
1962,49,0.977,0.974,0.997,0.296,0.819,2.764,NA,NA,NA,0.551,0.571,1.036,0.05,0.098,1.979,NA,NA,NA,0.264,0.036,7.267,NA,NA,NA,NA,NA,NA,0.55,0.45,1.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98369711637497,0.68502539396286,1.4360009431839
1962,51,0.955,0.959,1.004,0.374,0.781,2.089,NA,NA,NA,0.435,0.372,0.856,0.075,0.13,1.741,NA,NA,NA,0.233,0.064,3.649,NA,NA,NA,NA,NA,NA,0.554,0.615,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965938448905945,0.927756488323212,1.04115509986877
1962,53,0.924,0.93,1.006,0.396,0.782,1.973,NA,NA,NA,0.586,0.515,0.879,0.086,0.142,1.648,NA,NA,NA,0.267,0.206,1.294,NA,NA,NA,NA,NA,NA,0.578,0.6,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931879103183746,0.94126284122467,0.990030705928802
1962,54,0.949,0.899,0.948,0.267,0.606,2.271,NA,NA,NA,0.337,0.279,0.827,0.047,0.065,1.389,NA,NA,NA,0.114,0.159,0.718,NA,NA,NA,NA,NA,NA,0.438,0.309,1.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913697183132172,1,0.913697183132172
1962,55,0.96,0.964,1.005,0.385,0.751,1.951,NA,NA,NA,0.493,0.434,0.881,0.066,0.083,1.258,NA,NA,NA,0.202,0.049,4.134,NA,NA,NA,NA,NA,NA,0.562,0.563,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966365814208984,0.816870987415314,1.18300914764404
