"YEAR","STATEFIP","st_percent_female_employed","st_percent_male_employed","st_sex_ratio_in_percent_employed","st_percent_female_in_labor_force","st_percent_male_in_labor_force","st_sex_ratio_in_percent_in_labor_force","st_percent_female_above_poverty_line","st_percent_male_above_poverty_line","st_sex_ratio_in_percent_above_poverty_line","st_percent_female_yes_high_school_diploma","st_percent_male_yes_high_school_diploma","st_sex_ratio_in_percent_yes_high_school_diploma","st_percent_female_yes_bachelors","st_percent_male_yes_bachelors","st_sex_ratio_in_percent_yes_bachelors","st_percent_white_childapl","st_percent_nonwhite_childapl","st_race_ratio_in_percent_childapl","st_percent_white_yes_high_school_diploma","st_percent_nonwhite_yes_high_school_diploma","st_race_ratio_in_percent_yes_high_school_diploma","st_percent_white_employed","st_percent_nonwhite_employed","st_race_ratio_in_percent_employed","st_median_white_household_income","st_median_nonwhite_household_income","st_race_ratio_in_household_income","st_percent_white_home","st_percent_nonwhite_home","st_race_ratio_home","st_percent_white_in_labor_force","st_percent_nonwhite_in_labor_force","st_race_ratio_in_percent_in_labor_force","st_percent_white_above_poverty_line","st_percent_nonwhite_above_poverty_line","st_race_ratio_in_percent_above_poverty_line","st_percent_male_occw","st_percent_female_occw","st_sex_ratio_in_percent_occw","st_percent_male_occp","st_percent_female_occp","st_sex_ratio_in_percent_occp","st_percent_male_occb","st_percent_female_occb","st_sex_ratio_in_percent_occb","st_percent_nonwhite_vote","st_percent_white_vote","st_race_ratio_in_percent_vote","st_percent_female_yes_literate","st_percent_male_yes_literate","st_sex_ratio_in_percent_yes_literate","st_percent_nonwhite_yes_literate","st_percent_white_yes_literate","st_race_ratio_in_percent_yes_literate","state_name","st_white_e0","st_nonwhite_e0","st_race_ratio_in_e0","st_white_e1","st_nonwhite_e1","st_race_ratio_in_e1","st_whitemale_e0","st_nonwhitemale_e0","st_race_ratio_within_males_in_e0","st_whitemale_e1","st_nonwhitemale_e1","st_race_ratio_within_males_in_e1","st_whitefemale_e0","st_nonwhitefemale_e0","st_race_ratio_within_females_in_e0","st_whitefemale_e1","st_nonwhitefemale_e1","st_race_ratio_within_females_in_e1"
1962,28,0.972,0.931,0.958,0.324,0.702,2.169,NA,NA,NA,0.22,0.2,0.913,0.033,0.028,0.849,NA,NA,NA,0.134,0.034,3.914,0.495,0.527,0.94,NA,NA,NA,NA,NA,NA,0.512,0.497,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,29,0.945,0.963,1.02,0.332,0.78,2.348,NA,NA,NA,0.445,0.437,0.981,0.042,0.078,1.873,NA,NA,NA,0.178,0.11,1.621,0.47,0.525,0.895,NA,NA,NA,NA,NA,NA,0.55,0.527,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,32,0.967,0.938,0.971,0.47,0.876,1.864,NA,NA,NA,0.649,0.736,1.134,0.035,0.243,6.925,NA,NA,NA,0.364,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,34,0.927,0.948,1.022,0.368,0.801,2.177,NA,NA,NA,0.428,0.432,1.01,0.049,0.096,1.958,NA,NA,NA,0.163,0.083,1.957,0.46,0.441,1.043,NA,NA,NA,NA,NA,NA,0.562,0.657,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,35,0.949,0.937,0.987,0.3,0.813,2.706,NA,NA,NA,0.459,0.463,1.008,0.08,0.135,1.689,NA,NA,NA,0.227,0.444,0.511,0.473,0.601,0.787,NA,NA,NA,NA,NA,NA,0.539,0.18,2.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,36,0.93,0.937,1.008,0.381,0.78,2.049,NA,NA,NA,0.47,0.466,0.99,0.069,0.126,1.831,NA,NA,NA,0.211,0.091,2.321,0.47,0.418,1.124,NA,NA,NA,NA,NA,NA,0.561,0.662,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,37,0.93,0.935,1.006,0.35,0.751,2.145,NA,NA,NA,0.338,0.273,0.807,0.046,0.052,1.126,NA,NA,NA,0.149,0.047,3.148,0.494,0.503,0.982,NA,NA,NA,NA,NA,NA,0.533,0.558,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,39,0.915,0.925,1.01,0.33,0.779,2.358,NA,NA,NA,0.461,0.415,0.902,0.049,0.084,1.729,NA,NA,NA,0.166,0.093,1.795,0.497,0.483,1.029,NA,NA,NA,NA,NA,NA,0.534,0.651,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,40,0.92,0.976,1.06,0.302,0.755,2.497,NA,NA,NA,0.491,0.427,0.871,0.087,0.16,1.838,NA,NA,NA,0.263,0.021,12.243,0.501,0.667,0.752,NA,NA,NA,NA,NA,NA,0.519,0.365,1.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,41,0.954,0.904,0.947,0.363,0.708,1.948,NA,NA,NA,0.525,0.373,0.71,0.057,0.061,1.062,NA,NA,NA,0.17,0,-1,0.501,0.788,0.636,NA,NA,NA,NA,NA,NA,0.541,0.212,2.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
